速度,最大梯度,最小梯度,升温时间,高温时间,峰值温度,满足状态
75.4,2.65104910389793,-2.02588124971351,100,56,240.018597300549,0
75.399,2.65106697724795,-2.0312097118188,100.5,56,240.016538114543,0
75.398,2.644352227474,-2.01853907248272,100.5,56,240.00914465043,0
75.397,2.65106541535384,-2.02758330829027,100.5,56,240.024709324276,0
75.396,2.65104664712193,-2.03005762159643,100.5,56,239.992265157158,4
75.395,2.65107464947299,-2.02685527829976,100.5,56,240.000823013351,0
75.394,2.65113517232668,-2.02201069218648,100,56,239.995228621832,4
75.393,2.65268610338761,-2.02707186993501,100.5,56,240.000445264317,0
75.392,2.65104276449215,-2.02973192836606,100.5,56,240.000793242707,0
75.391,2.65268605230602,-2.0266098560873,100.5,56,240.015989782548,0
75.39,2.65103384332038,-2.02946552931792,100.5,56,240.000646225076,0
75.389,2.65101636049064,-2.02729133001588,100.5,56,240.022236015588,0
75.388,2.65104864121589,-2.0291441121534,100.5,56,240.001707656789,0
75.387,2.65102167645004,-2.02898960242038,100.5,56,239.998577850293,4
75.386,2.65105752358375,-2.02532441462068,100.5,56,240.024255201747,0
75.385,2.65102462680183,-2.02730719935056,100.5,56,240.039880822013,0
75.384,2.6510502778184,-2.02868057978094,100.5,56,240.018924812026,0
75.383,2.65117224122439,-2.02836116842627,100.5,56,239.995707540859,4
75.382,2.6511687859083,-2.02844056634939,100.5,56,239.998123588337,4
75.381,2.65104624686799,-2.02805806201081,100.5,56,239.990750473774,4
75.38,2.64933523706618,-2.02871144575425,100.5,56,240.022097781896,0
75.379,2.65105300610782,-2.02716382625454,100.5,56,239.989869637627,4
75.378,2.65104915088244,-2.0257553995653,100.5,56,240.036502740831,0
75.377,2.65105311141819,-2.02653532627352,100.5,56,240.026126521165,0
75.376,2.64455403496076,-2.02460618230276,100.5,56,239.99450656891,4
75.375,2.65104892399886,-2.02634090925596,100.5,56,240.02058105433,0
75.374,2.65106376241712,-2.02123262961584,100.5,56,239.991423873203,4
75.373,2.65216556985281,-2.02670286996965,100.5,56,240.007319129516,0
75.372,2.65216575319812,-2.02705555982425,100.5,56,240.005921624886,0
75.371,2.64452993727075,-2.02568690720483,100.5,56,239.999253146898,4
75.37,2.65105340000677,-2.02305774091758,100.5,56,240.004841735088,0
75.369,2.65268227236251,-2.0256812392654,100.5,56,239.994932919997,4
75.368,2.64931200807811,-2.02696238775781,100.5,56,240.028150073926,0
75.367,2.65106236779862,-2.0224801926376,100.5,56,239.993451798011,4
75.366,2.64454320461159,-2.02580210692025,100.5,56,240.011000376061,0
75.365,2.65098941156745,-2.02713757830429,100.5,56,240.052490647755,0
75.364,2.65104545144237,-2.02640355323723,100.5,56,239.99623147125,4
75.363,2.65106566062175,-2.02411396079498,100.5,56,240.013674466031,0
75.362,2.65100051779666,-2.02600964778316,100.5,56,239.999607343357,4
75.361,2.64434604415197,-2.02604766847401,100.5,56,240.05166745875,0
75.36,2.65103807357491,-2.02496185646288,100.5,56,240.000425589646,0
75.359,2.65108252092175,-2.02559035596636,100.5,56,240.000933223869,0
75.358,2.65104228588275,-2.02607921870913,100.5,56,240.034645339625,0
75.357,2.65106346861775,-2.01831012555334,100.5,56,240.000388650208,0
75.356,2.65106797940112,-2.02397334600579,100.5,56,240.034846889319,0
75.355,2.65105425690302,-2.02632945056331,100.5,56,240.015588742897,0
75.354,2.65106327369602,-2.02835176699892,100.5,56,240.011870575424,0
75.353,2.65102640447766,-2.02775115068874,100.5,56,239.974243990695,4
75.352,2.65106508942831,-2.0284100914306,100.5,56,240.016612980948,0
75.351,2.65107606865399,-2.0258464850553,100.5,56.5,240.052707361134,0
75.35,2.65106939850205,-2.02469104404122,100.5,56.5,240.010287645403,0
75.349,2.64469003830929,-2.02338231679607,100.5,56.5,240.014367176227,0
75.348,2.65107672378467,-2.0251715775787,100.5,56.5,240.023248863192,0
75.347,2.65108108352105,-2.02421261234014,100.5,56.5,240.01992893427,0
75.346,2.65107023866351,-2.02804374661179,100.5,56.5,240.013134070309,0
75.345,2.65104202520544,-2.02511358010878,100.5,56.5,240.020412958421,0
75.344,2.65106925129533,-2.0250794081382,100.5,56.5,240.013168032231,0
75.343,2.65106534164256,-2.02530688199437,100.5,56.5,240.020730024384,0
75.342,2.64454995530306,-2.02651429398935,100.5,56.5,240.016901205529,0
75.341,2.65107354916529,-2.02492262750792,100.5,56.5,240.002344702927,0
75.34,2.65109304278256,-2.02776033325745,100.5,56.5,240.01992244341,0
75.339,2.64455052044266,-2.02340456098011,100.5,56.5,240.039234331357,0
75.338,2.65107228687803,-2.02306664343354,100.5,56.5,240.026498510596,0
75.337,2.64777558754034,-2.02539366661006,100.5,56.5,240.06666823743,0
75.336,2.64456224202655,-2.02300321539553,100.5,56.5,240.040719358325,0
75.335,2.65107687363104,-2.02365739036378,100.5,56.5,240.024610254982,0
75.334,2.65107571509483,-2.02444399547363,100.5,56.5,240.015757071049,0
75.333,2.6477832482645,-2.0216557216076,100.5,56.5,240.015261609819,0
75.332,2.65099217837046,-2.02141040964858,100.5,56.5,240.046063694007,0
75.331,2.6510803495058,-2.02428770854476,100.5,56.5,240.047364259915,0
75.33,2.65104929837536,-2.02492894953735,100.5,56.5,240.049542697387,0
75.329,2.65108025614275,-2.02423644456047,100.5,56.5,240.024270622465,0
75.328,2.64467642235782,-2.02599565324181,100.5,56.5,240.030668865058,0
75.327,2.65105407288766,-2.01835843520456,100.5,56.5,240.028028147402,0
75.326,2.65104676861391,-2.02706875692593,100.5,56.5,240.023742213655,0
75.325,2.65107585743169,-2.02446903607978,100.5,56.5,240.051185817667,0
75.324,2.651050109987,-2.0245568383736,100.5,56.5,240.04730177487,0
75.323,2.65104981449389,-2.01921826974177,100.5,56.5,240.033010699753,0
75.322,2.65105999648914,-2.02044233416615,100.5,56.5,240.06020753798,0
75.321,2.65105294268935,-2.0263444257576,100.5,56.5,240.047054269887,0
75.32,2.64455628462336,-2.02473684961143,100.5,56.5,240.069115635012,0
75.319,2.64470850683453,-2.0253063731945,100.5,56.5,240.027883897361,0
75.318,2.65109362417641,-2.02525322012633,100.5,56.5,240.052684810335,0
75.317,2.65106685516871,-2.01935797173843,100.5,56,240.048387335484,0
75.316,2.65105366902843,-2.02369833805562,100.5,56.5,240.036989154001,0
75.315,2.65109854516442,-2.02485904650257,100.5,56.5,240.035609682197,0
75.314,2.65108042596533,-2.02074074675022,100.5,56,240.032499425391,0
75.313,2.65104432615789,-2.02563190390435,100.5,56,240.067244165926,0
75.312,2.64460310736801,-2.02275573936896,100.5,56,240.032987133762,0
75.311,2.6446103117042,-2.02128765926903,100.5,56,240.038489197144,0
75.31,2.64439308124012,-2.02559186425128,100.5,56,240.056210536592,0
75.309,2.65104806281791,-2.02336865708924,100.5,56,240.038894200505,0
75.308,2.64460688574837,-2.02333974916905,100.5,56,240.038978535491,0
75.307,2.64439586649118,-2.03293713731279,100.5,56,240.06995818096,0
75.306,2.6446220863844,-2.02607994170103,100.5,56,240.032840439738,0
75.305,2.65108866093013,-2.02315684535978,100.5,56,240.037354797241,0
75.304,2.65101945705847,-2.02261468584726,100.5,56,240.062399506701,0
75.303,2.65094367544836,-2.02613005888668,100.5,56,240.036610606268,0
75.302,2.65107005399688,-2.02635747960898,100.5,56,240.032026188501,0
75.301,2.65110140836569,-2.0265125272573,100.5,56,240.038886248569,0
75.3,2.65117070381726,-2.02229446254802,100.5,56,240.037271289203,0
