时间(s),温度(摄氏度)
0,25
0.5,25
1,25.0000000002737
1.5000,25.0000000027697
2,25.0000000147783
2.5000,25.0000109376896
3,25.0000218606008
3.5000,25.0000327835121
4,25.0000437064234
4.5000,25.0000546293347
5,25.0000655522459
5.5000,25.0000764751572
6,25.0000873980685
6.5000,25.0000983209798
7,25.0001092438911
7.5000,25.0001465335839
8,25.0001838232767
8.5000,25.0002211129696
9,25.0002584026624
9.5000,25.0002956923552
10,25.0003329820481
10.500,25.0003702717409
11,25.0004075614337
11.500,25.0004448511266
12,25.0004821408194
12.500,25.0005263471963
13,25.0005745998678
13.500,25.0006265833630
14,25.0006823673214
14.500,25.0007420700437
15,25.0008058059695
15.500,25.0008736774747
16,25.0009444973978
16.500,25.0010195006578
17,25.0011012571675
17.500,25.0012693962684
18,25.0021959464443
18.500,25.0062010632229
19,25.0180887640338
19.500,25.0450112684105
20,25.0955138549657
20.500,25.1777823197750
21,25.2984508049384
21.500,25.4624697758199
22,25.6737213794105
22.500,25.9363642359910
23,26.2555862337525
23.500,26.6376069619147
24,27.0882408764163
24.500,27.6127068006648
25,28.2142704102695
25.500,28.8936713203521
26,29.6510998043214
26.500,30.4832567842266
27,31.3860230672907
27.500,32.3544569963148
28,33.3824995314981
28.500,34.4665005597781
29,35.6005892045057
29.500,36.7785739847711
30,37.9958590936096
30.500,39.2473850474030
31,40.5280238669835
31.500,41.8325580583534
32,43.1585085659515
32.500,44.5012539822777
33,45.8561053365349
33.500,47.2231034123935
34,48.5974816805724
34.500,49.9766820363965
35,51.3636844129079
35.500,52.7521159851482
36,54.1392987586635
36.500,55.5225547389999
37,56.8997481020511
37.500,58.2779064468243
38,59.6497898446136
38.500,61.0136467266850
39,62.3677255243048
39.500,63.7102746687393
40,65.0486904290100
40.500,66.3770429205360
41,67.6943715037984
41.500,68.9997397346458
42,70.2922111689269
42.500,71.5761084181703
43,72.8486327387099
43.500,74.1090430597860
44,75.3569163529188
44.500,76.5918295896288
45,77.8157534122866
45.500,79.0277025173891
46,80.2272063663173
46.500,81.4140994902194
47,82.5882164202441
47.500,83.7515166331817
48,84.9030331891921
48.500,86.0421838211457
49,87.1688838527103
49.500,88.2830486075533
50,89.3845934093423
50.500,90.4734335817447
51,91.5494844484282
51.500,92.6126613330602
52,93.6640603947093
52.500,94.7053555724001
53,95.7346893441542
53.500,96.7520852002864
54,97.7575666311116
54.500,98.7511571269447
55,99.7328801781004
55.500,100.702759274894
56,101.660817907639
56.500,102.607079566652
57,103.543905047131
57.500,104.469953750461
58,105.385128990116
58.500,106.289529425743
59,107.183253716992
59.500,108.066400523509
60,108.939068504943
60.500,109.801356320940
61,110.653362631150
61.500,111.495496065642
62,112.328041095056
62.500,113.150823763954
63,113.963963184928
63.500,114.767578470567
64,115.561788733461
64.500,116.346713086201
65,117.122470641377
65.500,117.889180511580
66,118.646951097377
66.500,119.395585640039
67,120.135428725067
67.500,120.866589811754
68,121.589178359392
68.500,122.303303827272
69,123.009075674687
69.500,123.706603360929
70,124.395996345290
70.500,125.077364087062
71,125.749482881087
71.500,126.412713645566
72,127.067998321836
72.500,127.715437773941
73,128.355132865927
73.500,128.987184461837
74,129.611693425716
74.500,130.228760621608
75,130.838486913558
75.500,131.440973165611
76,132.036320241810
76.500,132.624629006200
77,133.206000322826
77.500,133.780535055732
78,134.348334068963
78.500,134.909498226562
79,135.464128392575
79.500,136.012325431046
80,136.554190206019
80.500,137.089823581539
81,137.619326421650
81.500,138.142799590397
82,138.660343951824
82.500,139.172060369976
83,139.678049708896
83.500,140.178412832630
84,140.673250605222
84.500,141.161718514229
85,141.640885175875
85.500,142.114307150641
86,142.582067053431
86.500,143.044247499152
87,143.500931102709
87.500,143.952200479007
88,144.398138242953
88.500,144.838827009450
89,145.274349393405
89.500,145.704788009724
90,146.130225473311
90.500,146.550744399072
91,146.966427401912
91.500,147.377357096738
92,147.783616098453
92.500,148.185287021965
93,148.582452482178
93.500,148.975195093998
94,149.363597472329
